site_id|site_name|road_name|corridor|latitude|longitude|region|is_active_in_data|notes|is_core
269|PFW 780m West of Sneydes Road (IB)||Princes Fwy West|-37.9025750|144.7006470|Greater Melbourne|1||1
27|M1 Outbound - After Heatherton Rd||M1 Monash/West Gate Fwy|-37.9815830|145.2449310|Greater Melbourne|1||0
270|PFW 200m West of Sneydes Road (IB)||Princes Fwy West|-37.8994361|144.7052020|Greater Melbourne|1||1
271|M1 PFW Inbound - Sneydes Rd Btwn Ramps (NEB)||M1 Monash/West Gate Fwy|-37.8994361|144.7052020|Greater Melbourne|0||0
272|M1 PFW Outbound - Sneydes Rd Btwn Ramps (SWB)||M1 Monash/West Gate Fwy|-37.8996159|144.7056493|Greater Melbourne|0||0
273|PFW 380m East of Sneydes Road (IB)||Princes Fwy West|-37.8949150|144.7083930|Greater Melbourne|1||1
274|M1 PFW Inbound - Sneydes Rd Btwn Ramps (NEB)||M1 Monash/West Gate Fwy|-37.8949150|144.7083930|Greater Melbourne|0||0
275|M1 PFW Outbound - Sneydes Rd Btwn Ramps (SWB)||M1 Monash/West Gate Fwy|-37.8950220|144.7088940|Greater Melbourne|0||0
276|PFW 1490m East of Sneydes Road (IB)||Princes Fwy West|-37.8851690|144.7088300|Greater Melbourne|1||1
277|M1 PFW Inbound - Btwn Sneydes Rd and Princes Hwy (NEB)||M1 Monash/West Gate Fwy|-37.8909786|144.7098037|Greater Melbourne|0||0
278|M1 PFW Outbound - Btwn Princes Hwy and Sneydes Rd (SWB)||M1 Monash/West Gate Fwy|-37.8909658|144.7102447|Greater Melbourne|0||0
279|PFW 2290 West of Forsyth Road (IB)||Princes Fwy West|-37.8799670|144.7118090|Greater Melbourne|1||1
28|M1 Inbound - Above Kidds Rd||M1 Monash/West Gate Fwy|-37.9878730|145.2510980|Greater Melbourne|1||1
280|PFW 1510m West of Forsyth Road (IB)||Princes Fwy West|-37.8775350|144.7194790|Greater Melbourne|1||1
281|PFW 870m West of Forsyth Road IB||Princes Fwy West|-37.8756550|144.7269990|Greater Melbourne|1||1
282|PFW 210m West of Forsyth Road (IB)||Princes Fwy West|-37.8736400|144.7350270|Greater Melbourne|1||1
283|PFW 220m East of Forsyth Road (IB)||Princes Fwy West|-37.8727180|144.7387380|Greater Melbourne|1||1
284|PFW 290m West of Palmers Road (IB)||Princes Fwy West|-37.8700020|144.7494630|Greater Melbourne|0||0
285|M1 PFW Inbound - Forsyth Rd Btwn Ramps (EB)||M1 Monash/West Gate Fwy|-37.8727180|144.7387380|Greater Melbourne|0||0
286|M1 PFW Outbound - Forsyth Rd Btwn Ramps (WB)||M1 Monash/West Gate Fwy|-37.8730420|144.7391930|Greater Melbourne|0||0
287|PFW 420m West of Point Cook Road (IB)||Princes Fwy West|-37.8692317|144.7553920|Greater Melbourne|1||0
288|PFW 510m West of High Street/Newland St (IB)||Princes Fwy West|-37.8679060|144.7688010|Greater Melbourne|1||0
289|PFW Between High Street/Newland St Entry Exit Ramps (IB)||Princes Fwy West|-37.8664021|144.7740038|Greater Melbourne|1||1
29|M1 Outbound - Just Past Sth Gippy Exit Ramp||M1 Monash/West Gate Fwy|-37.9877260|145.2513130|Greater Melbourne|1||0
290|M1 PFW Inbound - Btwn Palmers Rd and Aviation Rd (EB)||M1 Monash/West Gate Fwy|-37.8692317|144.7553920|Greater Melbourne|0||0
291|M1 PFW Outbound - Btwn Point Cook Rd and Palmers Rd (WB)||M1 Monash/West Gate Fwy|-37.8696395|144.7553888|Greater Melbourne|0||0
292|PFW 1280m West of Kororoit Creek Road (IB)||Princes Fwy West|-37.8536870|144.7788040|Greater Melbourne|1||1
293|PFW 640m West of Kororoit Creek Road (IB)||Princes Fwy West|-37.8480840|144.7802910|Greater Melbourne|1||1
294|M1 PFW Inbound - Btwn Point Cook Rd and High St (EB)||M1 Monash/West Gate Fwy|-37.8679060|144.7688010|Greater Melbourne|0||0
295|M1 PFW Outbound - Btwn Newland St and Point Cook Rd (WB)||M1 Monash/West Gate Fwy|-37.8683200|144.7688690|Greater Melbourne|0||0
296|M1 PFW Inbound - Newland St Btwn Ramps (NEB)||M1 Monash/West Gate Fwy|-37.8664021|144.7740038|Greater Melbourne|0||0
297|M1 PFW Outbound - Newland St Btwn Ramps (SWB)||M1 Monash/West Gate Fwy|-37.8666837|144.7742592|Greater Melbourne|0||0
