site,site_description,latitude,longitude
220,M1 Outbound - CH 52296,-38.0753780000,145.409925000000
221,M1 Outbound - CH 52918,-38.0763650000,145.416868000000
222,M1 Outbound - CH 25400,-37.9268296715,145.182071943000
223,M80 - WRR Kathryn St GB,-37.6917428524,144.961015088600
224,M80 - WRR Kathryn St AB,-37.6919748634,144.961073929600
225,M80 - WRR East of Kathryn St GB,-37.6913860000,144.964916000000
226,M80 - WRR East of Kathryn St AB,-37.6917120000,144.964995000000
227,M80 - WRR East of Mahoneys Rd GB,-37.6908310000,144.969779000000
228,M80 - WRR East of Mahoneys Rd AB,-37.6911920000,144.969890000000
229,M80 - WRR East of Merri Creek GB,-37.6902170000,144.975615000000
230,M80 - WRR East of Merri Creek AB,-37.6905970043,144.975656932400
231,M80 - WRR East of Industrial Ave GB,-37.6896520000,144.981453000000
232,M80 - WRR East of Industrial Ave AB,-37.6899590000,144.981443000000
233,M80 - WRR East of M31 overpass GB,-37.6891230000,144.986560000000
234,M80 - WRR East of M31 overpass AB,-37.6894023735,144.986819531900
235,M80 - WRR West of Blaxland Ave GB,-37.6887080000,144.990538000000
236,M80 - WRR West of Blaxland Ave AB,-37.6889980724,144.990611504900
237,M80 - WRR East of Blaxland Ave GB,-37.6880090000,144.996190000000
238,M80 - WRR East of Blaxland Ave AB,-37.6883440000,144.996249000000
239,M80 - WRR/Edgars Rd overpass GB,-37.6870670000,145.001899000000
240,M80 - WRR/Edgars Rd overpass AB,-37.6873704326,145.001980886000
241,Mountain Hwy NR Violen St (EB),-37.8421020000,145.258492000000
242,Mountain Hwy NR Violen St (WB),-37.8423190000,145.258728000000
243,Burwood Hwy (EB),-37.8511690000,145.126391000000
244,Burwood Hwy (WB),-37.8514380000,145.126052000000
245,Nepean Hwy NR Arnot St (NB),-37.9120290000,145.013816000000
246,Nepean Hwy NR Arnot St (SB),-37.9120020000,145.014363000000
247,Sydney Rd and Jukes Rd (NB),-37.7007430000,144.959817000000
248,Sydney Rd and Jukes Rd (SB),-37.7013480000,144.960249000000
249,Princes Hwy and James St (EB),-37.9792260000,145.208086000000
250,Princes Hwy and James St (WB),-37.9787050000,145.207155000000
251,Princes Hwy and Federation Trail (EB),-37.8191580000,144.839976000000
252,Princes Hwy and Federation Trail (WB),-37.8193960000,144.840129000000
253,Plenty Rd NR Larundel (NB),-37.7104430000,145.048835000000
254,Plenty Rd NR Larundel (SB),-37.7106500000,145.049152000000
255,Fitzgerald Rd and Federation trail (NB),-37.8356210000,144.783706000000
256,Fitzgerald Rd and Federation trail (SB),-37.8358820000,144.783932000000
257,Princes Hwy West (EB),-37.8856670000,144.697972000000
258,Princes Hwy West (WB),-37.8854940000,144.698902000000
259,Sneydes Rd (EB),-37.8975030000,144.712346000000
260,Sneydes Rd (WB),-37.8975450000,144.712445000000
261,Grieve Pde (NB),-37.8441980000,144.824831000000
262,Grieve Pde (SB),-37.8448960000,144.825018000000
263,Dohertys Rd (EB),-37.8311430000,144.822901000000
264,Dohertys Rd (WB),-37.8312110000,144.822392000000
265,PFW 900m west of Duncans Road (IB),-37.9151950000,144.670860000000
266,PFW 240m East of Duncans Road (IB),-37.9129940000,144.677327000000
267,PFW 640m East of Duncans Road (IB),-37.9094280000,144.687908000000
268,PFW 1230m East of Duncans Road (IB),-37.9073510000,144.693682000000
269,PFW 780m West of Sneydes Road (IB),-37.9025750000,144.700647000000
270,PFW 200m West of Sneydes Road (IB),-37.8994360613,144.705202002200
271,M1 PFW Inbound - Sneydes Rd Btwn Ramps (NEB),-37.8994360600,144.705202000000
272,M1 PFW Outbound - Sneydes Rd Btwn Ramps (SWB),-37.8996159400,144.705649300000
273,PFW 380m East of Sneydes Road (IB),-37.8949150000,144.708393000000
274,M1 PFW Inbound - Sneydes Rd Btwn Ramps (NEB),-37.8949150000,144.708393000000
275,M1 PFW Outbound - Sneydes Rd Btwn Ramps (SWB),-37.8950220000,144.708894000000
276,PFW 1490m East of Sneydes Road (IB),-37.8851690000,144.708830000000
277,M1 PFW Inbound - Btwn Sneydes Rd and Princes Hwy (NEB),-37.8909786400,144.709803700000
278,M1 PFW Outbound - Btwn Princes Hwy and Sneydes Rd (SWB),-37.8909658100,144.710244700000
279,PFW 2290 West of Forsyth Road (IB),-37.8799670000,144.711809000000
280,PFW 1510m West of Forsyth Road (IB),-37.8775350000,144.719479000000
281,PFW 870m West of Forsyth Road IB,-37.8756550000,144.726999000000
282,PFW 210m West of Forsyth Road (IB),-37.8736400000,144.735027000000
283,PFW 220m East of Forsyth Road (IB),-37.8727180000,144.738738000000
284,PFW 290m West of Palmers Road (IB),-37.8700020000,144.749463000000
285,M1 PFW Inbound - Forsyth Rd Btwn Ramps (EB),-37.8727180000,144.738738000000
286,M1 PFW Outbound - Forsyth Rd Btwn Ramps (WB),-37.8730420000,144.739193000000
287,PFW 420m West of Point Cook Road (IB),-37.8692317056,144.755392000200
288,PFW 510m West of High Street/Newland St (IB),-37.8679060000,144.768801000000
289,PFW Between High Street/Newland St Entry Exit Ramps (IB),-37.8664021427,144.774003848600
290,M1 PFW Inbound - Btwn Palmers Rd and Aviation Rd (EB),-37.8692317100,144.755392000000
291,M1 PFW Outbound - Btwn Point Cook Rd and Palmers Rd (WB),-37.8696394900,144.755388800000
292,PFW 1280m West of Kororoit Creek Road (IB),-37.8536870000,144.778804000000
293,PFW 640m West of Kororoit Creek Road (IB),-37.8480840000,144.780291000000
294,M1 PFW Inbound - Btwn Point Cook Rd and High St (EB),-37.8679060000,144.768801000000
295,M1 PFW Outbound - Btwn Newland St and Point Cook Rd (WB),-37.8683200000,144.768869000000
296,M1 PFW Inbound - Newland St Btwn Ramps (NEB),-37.8664021400,144.774003800000
297,M1 PFW Outbound - Newland St Btwn Ramps (SWB),-37.8666836900,144.774259200000
298,M1 PFW Inbound - Btwn Newland St and Kororoit Creek Rd (NEB),-37.8641520000,144.776055000000
299,M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB),-37.8643644600,144.776545000000
300,M1 PFW Inbound - Btwn Newland St and Kororoit Creek Rd (NEB),-37.8602520000,144.777235000000
301,M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB),-37.8603190000,144.777718000000
302,M1 PFW Inbound - Btwn Newland St and Kororoit Creek Rd (NEB),-37.8536870000,144.778804000000
303,M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB),-37.8537220000,144.779306000000
304,M1 PFW Inbound - Btwn Old Geelong Rd Offramp and Kororoit Creek Rd Offramp (NEB),-37.8480840000,144.780291000000
305,M1 PFW Outbound - Btwn Kororoit Creek Rd and Newland St (SWB),-37.8482310000,144.780823000000
306,PFW 810m East of Sneydes Road (IB),-37.8909786372,144.709803667100
307,M1 PFW Inbound - Kororoit Creek Rd Btwn Ramps (NEB),-37.8438780000,144.786005000000
308,M1 PFW Outbound - Kororoit Creek Rd Btwn Ramps (SWB),-37.8442995900,144.786331900000
309,"PFW 160m East of Point Cook Road, near Aviation Road IB Entry (IB)",-37.8686060000,144.761490000000
310,PFW 310m East of High Street/Newland St Entry Exit Ramps (IB),-37.8641520000,144.776055000000
311,PFW 780m East of High Street/Newland St Entry Exit Ramps (IB),-37.8602520000,144.777235000000
312,PFW 125m East of Kororoit Creek Road (IB),-37.8438780000,144.786005000000
313,PFW 900m west of Duncans Road (OB),-37.9155480000,144.671193000000
314,PFW 240m East of Duncans Road (OB),-37.9134080000,144.677503000000
315,PFW 640m East of Duncans Road (OB),-37.9097750000,144.688114000000
316,PFW 1230m East of Duncans Road (OB),-37.9076400000,144.694070000000
317,PFW 780m West of Sneydes Road (OB),-37.9028920000,144.700979000000
318,PFW 200m West of Sneydes Road (OB),-37.8996159369,144.705649344400
319,PFW 380m East of Sneydes Road (OB),-37.8950220000,144.708894000000
320,PFW 810m East of Sneydes Road (OB),-37.8909658129,144.710244722800
321,PFW 1490m East of Sneydes Road (OB),-37.8852930000,144.709481000000
322,PFW 2290 West of Forsyth Road (OB),-37.8802640000,144.712402000000
323,PFW 1510m West of Forsyth Road (OB),-37.8778460000,144.720331000000
324,PFW 870m West of Forsyth Road (OB),-37.8761200000,144.727224000000
325,PFW 210m West of Forsyth Road (OB),-37.8740730000,144.735221000000
326,PFW 220m East of Forsyth Road (OB),-37.8730420000,144.739193000000
327,PFW 290 West of Palmers Road (OB),-37.8704920000,144.749671000000
328,PFW 420m West of Point Cook Road (OB),-37.8696394852,144.755388815100
329,"PFW 160m East of Point Cook Road, near Aviation Road IB Entry (OB)",-37.8690370000,144.761050000000
330,PFW 510m West of High Street/Newland St (OB),-37.8683200000,144.768869000000
331,PFW Between High Street/Newland St Entry Exit Ramps (OB),-37.8666836908,144.774259161300
332,PFW 310m East of High Street/Newland St Entry Exit Ramps (OB),-37.8643644601,144.776544990200
333,PFW 780m East of High Street/Newland St Entry Exit Ramps (OB),-37.8603190000,144.777718000000
334,PFW 1280m West of Kororoit Creek Road (OB),-37.8537220000,144.779306000000
335,PFW 640m West of Kororoit Creek Road (OB),-37.8482310000,144.780823000000
336,PFW 125m East of Kororoit Creek Road (OB),-37.8442995852,144.786331902800
337,M1 Inbound - CH 960 (FDS01b),-38.0915330000,145.472101000000
338,M1 Outbound - CH 960 (FDS01a),-38.0911440000,145.472094000000
339,M1 Inbound - CH 1460 (FDS02b),-38.0919170000,145.477617000000
340,M1 Outbound - CH 1460 (FDS02a),-38.0915160000,145.477606000000
407,M1 Monash Fwy - Dandenong Creek,-37.9643210000,145.231111000000
408,M1 Princes Fwy - Cherry Creek,-37.9487472222,144.593105556000
409,M31 Hume Fwy - Wallan,-37.4168150000,144.995854000000
410,M79 Calder Fwy - Gisborne,-37.4780560000,144.600111000000
411,M1 Princes Fwy - Yarragon,-38.2006840000,146.045818000000
412,M1 Princes Fwy - Longwarry,-38.0849083333,145.762052778000
413,M39 Goulburn Valley Fwy - Murchison,-36.6276630000,145.298205000000
414,A1 Princes Hwy - Heywood,-38.1986220000,141.616091000000
415,A79 Calder Fwy - Bendigo,-36.6648200000,144.041495000000
498,M1 Monash Fwy - Atkinson Inbound (WB),-37.8859110000,145.103265000000
